x,original,kalman
0.0000000000,2.5958319598,2.5958319598
0.0010000000,2.7951899431,2.7627740108
0.0020000000,3.0600601894,2.9104745892
0.0030000000,3.3407827373,3.0794878568
0.0040000000,3.2170078221,3.1278696292
0.0050000000,3.3072261636,3.1877997541
0.0060000000,2.8012646341,3.0617085396
0.0070000000,2.6064805184,2.9148569323
0.0080000000,2.6926346138,2.8435404675
0.0090000000,3.2186937649,2.9636477465
0.0100000000,2.9458344489,2.9579510592
0.0110000000,2.7577244010,2.8939515736
0.0120000000,3.2151156365,2.9965824485
0.0130000000,3.0601165397,3.0168831002
0.0140000000,2.8349822072,2.9587644133
0.0150000000,2.9038264505,2.9412117415
0.0160000000,2.8586864616,2.9148452144
0.0170000000,2.6823436420,2.8405621839
0.0180000000,2.7639631822,2.8160892629
0.0190000000,2.6845823329,2.7740736344
0.0200000000,3.0637907469,2.8666363643
0.0210000000,2.8612466278,2.8649143790
0.0220000000,2.9049434188,2.8777033920
0.0230000000,2.9557452311,2.9026372414
0.0240000000,2.7030516551,2.8388709734
0.0250000000,2.3544805352,2.6841114501
0.0260000000,3.1003489109,2.8170965497
0.0270000000,2.9979838210,2.8748888294
0.0280000000,3.0443166625,2.9290198947
0.0290000000,3.4196412245,3.0857701450
0.0300000000,2.8605262905,3.0138062323
0.0310000000,2.4758019157,2.8419174330
0.0320000000,2.7822524698,2.8228548743
0.0330000000,2.9453458092,2.8619899129
0.0340000000,2.7785125264,2.8353194434
0.0350000000,2.7511728627,2.8084351708
0.0360000000,3.0804040121,2.8953274059
0.0370000000,2.4898525763,2.7657808959
0.0380000000,2.4623966988,2.6688516637
0.0390000000,2.4699283479,2.6052969879
0.0400000000,3.1584770582,2.7820343395
0.0410000000,2.8051097789,2.7894067888
0.0420000000,2.8420361987,2.8062215351
0.0430000000,2.7381346245,2.7844682202
0.0440000000,2.6141761729,2.7300610442
0.0450000000,2.9437505264,2.7983334119
0.0460000000,2.5776561304,2.7278284888
0.0470000000,2.7213067494,2.7257448365
0.0480000000,2.8158882026,2.7545450421
0.0490000000,2.6305338872,2.7149243033
0.0500000000,2.8210776578,2.7488395937
0.0510000000,3.1713144327,2.8838174936
0.0520000000,2.5841661682,2.7880808890
0.0530000000,3.1849143133,2.9148665275
0.0540000000,3.0388775461,2.9544872228
0.0550000000,2.5275801664,2.8180932590
0.0560000000,2.4023156670,2.6852550849
